"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","84 years",168,189
" ","85 years",150,174
" ","86 years",144,150
" ","87 years",105,114
" ","88 years",69,117
" ","89 years",72,96
" ","90 years",45,57
" ","91 years",36,48
" ","92 years",33,48
" ","93 years",21,30
" ","94 years",12,15
" ","95 years",9,21
" ","96 years",12,12
" ","97 years",6,9
" ","98 years",0,9
" ","99 years",3,3
" ","100 years and over",6,12
" ","Median age at death",68.1,70.7
1953,"Total all ages",10233,8118
" ","Neonatal",492,321
" ","Post-neonatal",303,219
" ","Infant",792,543
" ","1-4 years",177,153
" ","5-9 years",66,60
" ","10-14 years",57,51
" ","15-19 years",108,39
" ","20-24 years",138,60
" ","25-29 years",129,60
" ","30-34 years",126,87
" ","35-39 years",144,111
" ","40-44 years",240,192
" ","45-49 years",357,267
" ","50-54 years",480,321
" ","55-59 years",633,447
" ","60-64 years",894,591
" ","65-69 years",1260,870
" ","70-74 years",1512,1176
" ","75-79 years",1428,1188
" ","80-84 years",1014,1023
" ","85-89 years",486,567
" ","90-94 years",150,237
" ","95-99 years",42,54
" ","100 years and over",6,12
" ","Less than 1 year",792,543
" ","1 year",72,63
" ","2 years",48,39
" ","3 years",39,33
" ","4 years",21,21
" ","5 years",12,15
" ","6 years",15,6
" ","7 years",9,12
" ","8 years",15,15
" ","9 years",15,9
" ","10 years",15,9
" ","11 years",18,9
" ","12 years",12,18
" ","13 years",3,9
" ","14 years",12,12
" ","15 years",21,6
" ","16 years",18,9
" ","17 years",12,9
" ","18 years",27,9
" ","19 years",30,6
" ","20 years",30,15
" ","21 years",24,9
" ","22 years",21,12
" ","23 years",39,6
" ","24 years",24,18
" ","25 years",27,9
" ","26 years",24,9
" ","27 years",27,15
" ","28 years",21,12
" ","29 years",27,21
" ","30 years",36,18
" ","31 years",21,15
" ","32 years",36,18
" ","33 years",24,21
" ","34 years",15,12
" ","35 years",27,12
" ","36 years",27,12
" ","37 years",24,18
" ","38 years",36,27
" ","39 years",30,39
" ","40 years",45,30
" ","41 years",39,33
" ","42 years",51,42
" ","43 years",51,39
" ","44 years",51,45
" ","45 years",57,51
" ","46 years",60,48
" ","47 years",69,51
" ","48 years",78,57
" ","49 years",90,60
" ","50 years",75,51
" ","51 years",63,45
" ","52 years",120,75
" ","53 years",114,72
" ","54 years",114,75
" ","55 years",96,54
" ","56 years",114,81
" ","57 years",126,105
" ","58 years",153,114
" ","59 years",141,96
" ","60 years",135,105
" ","61 years",138,90
" ","62 years",207,111
" ","63 years",192,132
" ","64 years",222,156
" ","65 years",228,174
" ","66 years",228,138
" ","67 years",246,168
" ","68 years",273,183
" ","69 years",285,210
" ","70 years",285,225
" ","71 years",249,201
" ","72 years",309,237
" ","73 years",327,273
" ","74 years",342,246
" ","75 years",291,270
" ","76 years",324,240
" ","77 years",291,216
" ","78 years",279,249
" ","79 years",246,216
" ","80 years",237,210
" ","81 years",189,201
" ","82 years",207,213
" ","83 years",210,213
" ","84 years",174,189
" ","85 years",129,141
" ","86 years",120,138
" ","87 years",102,120
" ","88 years",75,90
" ","89 years",66,84
" ","90 years",51,84
" ","91 years",24,51
" ","92 years",27,51
" ","93 years",27,33
" ","94 years",21,21
" ","95 years",12,24
" ","96 years",12,15
" ","97 years",9,6
" ","98 years",3,6
" ","99 years",6,3
" ","100 years and over",3,12
" ","Median age at death",68.3,70.9
1954,"Total all ages",10521,8355
" ","Neonatal",486,321
" ","Post-neonatal",270,228
" ","Infant",753,549
" ","1-4 years",171,165
" ","5-9 years",69,60
" ","10-14 years",48,36
" ","15-19 years",96,45
" ","20-24 years",159,66
" ","25-29 years",144,90
" ","30-34 years",129,84
" ","35-39 years",159,111
" ","40-44 years",207,147
" ","45-49 years",327,225
" ","50-54 years",465,321
" ","55-59 years",633,441
" ","60-64 years",972,591
" ","65-69 years",1269,843
" ","70-74 years",1521,1209
" ","75-79 years",1515,1335
" ","80-84 years",1092,1032
" ","85-89 years",588,681
" ","90-94 years",171,240
" ","95-99 years",30,72
" ","100 years and over",3,12
" ","Less than 1 year",753,546
" ","1 year",75,72
" ","2 years",45,36
" ","3 years",36,36
" ","4 years",18,21
" ","5 years",27,15
" ","6 years",15,18
" ","7 years",9,12
" ","8 years",9,9
" ","9 years",6,9
" ","10 years",6,12
" ","11 years",6,6
" ","12 years",12,6
" ","13 years",12,6
" ","14 years",12,6
