"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","75-79 years",2313,1947
" ","80-84 years",1878,2220
" ","85-89 years",1098,1752
" ","90-94 years",396,1065
" ","95-99 years",102,378
" ","100 years and over",9,72
" ","Less than 1 year",348,243
" ","1 year",24,12
" ","2 years",24,9
" ","3 years",12,15
" ","4 years",12,6
" ","5 years",6,6
" ","6 years",12,3
" ","7 years",9,6
" ","8 years",3,9
" ","9 years",12,0
" ","10 years",3,3
" ","11 years",9,0
" ","12 years",9,3
" ","13 years",9,6
" ","14 years",15,9
" ","15 years",24,15
" ","16 years",33,18
" ","17 years",57,18
" ","18 years",57,24
" ","19 years",75,18
" ","20 years",66,15
" ","21 years",72,15
" ","22 years",36,15
" ","23 years",54,18
" ","24 years",54,18
" ","25 years",45,9
" ","26 years",51,15
" ","27 years",39,15
" ","28 years",36,15
" ","29 years",45,18
" ","30 years",48,15
" ","31 years",27,9
" ","32 years",36,18
" ","33 years",33,21
" ","34 years",48,24
" ","35 years",36,21
" ","36 years",51,24
" ","37 years",36,18
" ","38 years",36,21
" ","39 years",36,27
" ","40 years",42,27
" ","41 years",57,24
" ","42 years",54,39
" ","43 years",54,39
" ","44 years",60,48
" ","45 years",54,42
" ","46 years",54,45
" ","47 years",69,57
" ","48 years",72,57
" ","49 years",93,48
" ","50 years",87,69
" ","51 years",111,48
" ","52 years",111,66
" ","53 years",108,72
" ","54 years",102,87
" ","55 years",123,60
" ","56 years",117,93
" ","57 years",144,108
" ","58 years",183,93
" ","59 years",177,111
" ","60 years",201,141
" ","61 years",246,153
" ","62 years",261,135
" ","63 years",270,159
" ","64 years",321,168
" ","65 years",297,201
" ","66 years",327,210
" ","67 years",360,216
" ","68 years",408,210
" ","69 years",351,201
" ","70 years",351,237
" ","71 years",369,282
" ","72 years",390,303
" ","73 years",402,300
" ","74 years",474,345
" ","75 years",477,408
" ","76 years",477,372
" ","77 years",465,375
" ","78 years",450,414
" ","79 years",444,372
" ","80 years",450,438
" ","81 years",444,471
" ","82 years",345,456
" ","83 years",336,459
" ","84 years",303,396
" ","85 years",282,387
" ","86 years",240,369
" ","87 years",231,330
" ","88 years",186,366
" ","89 years",156,300
" ","90 years",129,273
" ","91 years",93,246
" ","92 years",57,204
" ","93 years",63,192
" ","94 years",51,153
" ","95 years",36,117
" ","96 years",21,93
" ","97 years",18,78
" ","98 years",18,60
" ","99 years",12,27
" ","100 years and over",9,72
" ","Median age at death",71.7,77.8
1990,"Total all ages",13971,12561
" ","Neonatal",147,102
" ","Post-neonatal",150,102
" ","Infant",297,204
" ","1-4 years",81,39
" ","5-9 years",36,18
" ","10-14 years",39,21
" ","15-19 years",213,84
" ","20-24 years",297,78
" ","25-29 years",216,87
" ","30-34 years",189,93
" ","35-39 years",195,114
" ","40-44 years",261,186
" ","45-49 years",336,261
" ","50-54 years",468,363
" ","55-59 years",765,504
" ","60-64 years",1224,738
" ","65-69 years",1698,1083
" ","70-74 years",1965,1461
" ","75-79 years",2250,1836
" ","80-84 years",1890,2151
" ","85-89 years",1083,1716
" ","90-94 years",372,1059
" ","95-99 years",84,366
" ","100 years and over",15,96
" ","Less than 1 year",294,204
" ","1 year",30,18
" ","2 years",24,12
" ","3 years",15,3
" ","4 years",15,6
" ","5 years",9,3
" ","6 years",6,6
" ","7 years",12,6
" ","8 years",6,3
" ","9 years",3,3
" ","10 years",0,6
" ","11 years",9,3
" ","12 years",9,3
" ","13 years",9,3
" ","14 years",9,3
" ","15 years",18,12
" ","16 years",33,12
" ","17 years",54,24
" ","18 years",45,15
" ","19 years",66,21
" ","20 years",69,15
" ","21 years",63,15
" ","22 years",51,21
" ","23 years",51,12
" ","24 years",63,15
" ","25 years",48,18
" ","26 years",51,18
" ","27 years",39,24
" ","28 years",42,12
" ","29 years",36,18
" ","30 years",36,15
" ","31 years",33,21
" ","32 years",30,21
" ","33 years",48,15
" ","34 years",42,21
" ","35 years",33,21
" ","36 years",33,15
" ","37 years",48,21
" ","38 years",36,30
" ","39 years",45,21
" ","40 years",51,33
" ","41 years",45,36
" ","42 years",45,33
" ","43 years",69,39
" ","44 years",51,45
" ","45 years",57,48
" ","46 years",57,54
" ","47 years",63,48
" ","48 years",81,51
" ","49 years",75,60
" ","50 years",78,57
" ","51 years",69,69
" ","52 years",93,63
" ","53 years",105,87
" ","54 years",123,84
" ","55 years",123,75
" ","56 years",129,102
" ","57 years",156,99
" ","58 years",162,108
" ","59 years",192,120
" ","60 years",219,111
" ","61 years",216,132
" ","62 years",234,168
" ","63 years",273,150
" ","64 years",282,177
" ","65 years",294,201
" ","66 years",300,186
" ","67 years",360,213
" ","68 years",354,243
" ","69 years",393,240
" ","70 years",360,243
" ","71 years",333,249
" ","72 years",408,288
" ","73 years",438,324
" ","74 years",426,357
" ","75 years",465,348
" ","76 years",429,324
" ","77 years",480,363
" ","78 years",420,414
" ","79 years",453,384
" ","80 years",426,432
" ","81 years",414,453
" ","82 years",384,438
" ","83 years",342,399
" ","84 years",327,423
" ","85 years",285,393
" ","86 years",276,336
" ","87 years",192,363
" ","88 years",171,303
" ","89 years",159,321
" ","90 years",105,297
" ","91 years",96,243
" ","92 years",72,201
" ","93 years",60,186
" ","94 years",39,132
" ","95 years",30,126
" ","96 years",21,90
" ","97 years",15,63
" ","98 years",9,45
" ","99 years",9,42
" ","100 years and over",15,96
" ","Median age at death",72.0,77.7
1991,"Total all ages",13764,12624
" ","Neonatal",147,108
" ","Post-neonatal",147,93
" ","Infant",294,201
" ","1-4 years",57,42
" ","5-9 years",33,30
" ","10-14 years",51,18
" ","15-19 years",171,69
" ","20-24 years",252,75
" ","25-29 years",192,75
" ","30-34 years",180,105
" ","35-39 years",228,141
" ","40-44 years",279,198
" ","45-49 years",348,237
" ","50-54 years",468,348
" ","55-59 years",702,447
" ","60-64 years",1206,723
" ","65-69 years",1698,1071
" ","70-74 years",1929,1407
" ","75-79 years",2175,1866
" ","80-84 years",1869,2172
" ","85-89 years",1089,1854
" ","90-94 years",420,1074
" ","95-99 years",111,375
" ","100 years and over",15,102
" ","Less than 1 year",294,198
" ","1 year",15,18
" ","2 years",15,12
" ","3 years",15,9
" ","4 years",9,3
" ","5 years",9,9
" ","6 years",6,3
" ","7 years",6,6
" ","8 years",12,9
" ","9 years",6,6
" ","10 years",9,3
" ","11 years",6,3
" ","12 years",15,3
" ","13 years",6,3
" ","14 years",18,3
" ","15 years",12,12
" ","16 years",30,6
" ","17 years",33,9
" ","18 years",45,21
" ","19 years",51,18
" ","20 years",57,12
" ","21 years",45,15
" ","22 years",39,15
" ","23 years",57,15
" ","24 years",51,15
" ","25 years",39,18
" ","26 years",33,15
" ","27 years",36,9
" ","28 years",48,15
" ","29 years",39,15
" ","30 years",33,21
" ","31 years",42,15
" ","32 years",36,21
" ","33 years",33,27
" ","34 years",39,21
" ","35 years",51,21
" ","36 years",48,24
" ","37 years",42,24
" ","38 years",36,33
" ","39 years",51,39
" ","40 years",54,30
" ","41 years",48,33
" ","42 years",63,45
" ","43 years",54,42
" ","44 years",60,48
" ","45 years",51,42
" ","46 years",51,57
" ","47 years",66,45
" ","48 years",87,36
" ","49 years",90,60
" ","50 years",90,66
" ","51 years",87,75
" ","52 years",84,57
" ","53 years",99,78
" ","54 years",105,69
" ","55 years",123,78
" ","56 years",120,90
" ","57 years",129,93
" ","58 years",147,84
" ","59 years",183,102
" ","60 years",216,138
" ","61 years",201,129
" ","62 years",225,132
" ","63 years",264,162
" ","64 years",303,162
" ","65 years",345,171
" ","66 years",309,192
" ","67 years",369,213
" ","68 years",318,225
" ","69 years",357,267
" ","70 years",381,270
" ","71 years",414,273
" ","72 years",366,261
" ","73 years",378,300
" ","74 years",393,306
" ","75 years",408,321
" ","76 years",405,366
" ","77 years",480,399
" ","78 years",426,387
" ","79 years",459,393
" ","80 years",393,438
" ","81 years",399,414
" ","82 years",375,450
" ","83 years",357,414
" ","84 years",345,453
" ","85 years",273,399
" ","86 years",255,420
" ","87 years",243,378
" ","88 years",174,348
" ","89 years",138,309
" ","90 years",120,303
" ","91 years",117,246
" ","92 years",90,198
" ","93 years",54,177
" ","94 years",39,150
" ","95 years",36,120
" ","96 years",30,102
" ","97 years",18,60
" ","98 years",6,51
" ","99 years",15,42
" ","100 years and over",12,102
" ","Median age at death",71.8,78.1
1992,"Total all ages",14478,12639
" ","Neonatal",129,87
" ","Post-neonatal",126,87
" ","Infant",252,174
" ","1-4 years",63,39
" ","5-9 years",36,33
" ","10-14 years",48,24
" ","15-19 years",180,63
" ","20-24 years",249,81
" ","25-29 years",213,63
" ","30-34 years",189,87
" ","35-39 years",219,120
" ","40-44 years",240,171
" ","45-49 years",336,249
" ","50-54 years",528,339
" ","55-59 years",744,426
" ","60-64 years",1203,660
" ","65-69 years",1770,999
" ","70-74 years",1983,1437
" ","75-79 years",2229,1887
" ","80-84 years",2076,2244
" ","85-89 years",1284,1944
" ","90-94 years",498,1119
" ","95-99 years",117,396
" ","100 years and over",15,81
" ","Less than 1 year",252,174
" ","1 year",27,18
" ","2 years",15,6
" ","3 years",9,6
" ","4 years",12,9
" ","5 years",6,6
" ","6 years",9,9
" ","7 years",6,9
" ","8 years",9,6
" ","9 years",3,3
" ","10 years",6,3
" ","11 years",6,3
" ","12 years",9,3
" ","13 years",9,6
" ","14 years",18,9
" ","15 years",24,3
" ","16 years",24,12
" ","17 years",30,18
" ","18 years",51,18
" ","19 years",51,15
" ","20 years",54,12
" ","21 years",45,12
" ","22 years",57,12
" ","23 years",54,21
" ","24 years",36,21
" ","25 years",48,12
" ","26 years",36,9
" ","27 years",45,15
" ","28 years",39,12
" ","29 years",45,15
" ","30 years",45,18
" ","31 years",36,21
" ","32 years",45,18
" ","33 years",27,15
" ","34 years",33,18
" ","35 years",48,18
" ","36 years",45,18
" ","37 years",42,30
" ","38 years",45,27
" ","39 years",39,27
" ","40 years",48,24
" ","41 years",39,42
" ","42 years",48,33
" ","43 years",54,30
" ","44 years",54,39
" ","45 years",60,51
" ","46 years",63,45
" ","47 years",66,54
" ","48 years",75,48
" ","49 years",69,51
" ","50 years",84,63
" ","51 years",99,66
" ","52 years",108,63
" ","53 years",111,72
" ","54 years",126,81
" ","55 years",120,81
" ","56 years",147,60
" ","57 years",138,90
" ","58 years",153,105
" ","59 years",186,87
" ","60 years",174,96
" ","61 years",207,129
" ","62 years",234,126
" ","63 years",261,138
" ","64 years",330,171
" ","65 years",321,183
" ","66 years",336,192
" ","67 years",336,156
" ","68 years",387,222
" ","69 years",387,246
" ","70 years",399,282
" ","71 years",414,270
" ","72 years",387,300
" ","73 years",381,288
" ","74 years",405,300
" ","75 years",402,369
" ","76 years",459,354
" ","77 years",420,342
" ","78 years",459,402
" ","79 years",486,414
" ","80 years",462,447
" ","81 years",411,435
" ","82 years",435,450
" ","83 years",411,471
" ","84 years",354,441
" ","85 years",291,432
" ","86 years",294,405
" ","87 years",279,414
" ","88 years",210,351
" ","89 years",210,342
" ","90 years",171,327
" ","91 years",111,252
" ","92 years",105,216
" ","93 years",54,168
" ","94 years",57,156
" ","95 years",45,114
" ","96 years",27,123
" ","97 years",24,72
" ","98 years",12,51
" ","99 years",9,36
" ","100 years and over",15,81
" ","Median age at death",72.4,78.7
1993,"Total all ages",14106,12993
" ","Neonatal",114,99
" ","Post-neonatal",120,87
" ","Infant",234,189
" ","1-4 years",54,57
" ","5-9 years",21,21
" ","10-14 years",30,27
" ","15-19 years",180,66
" ","20-24 years",261,78
" ","25-29 years",180,72
" ","30-34 years",171,90
" ","35-39 years",228,102
" ","40-44 years",282,192
" ","45-49 years",336,234
" ","50-54 years",519,357
" ","55-59 years",678,471
" ","60-64 years",1116,684
" ","65-69 years",1635,1026
" ","70-74 years",2016,1437
" ","75-79 years",2277,1905
" ","80-84 years",1962,2289
" ","85-89 years",1266,2034
" ","90-94 years",531,1155
" ","95-99 years",123,426
" ","100 years and over",12,84
" ","Less than 1 year",234,186
" ","1 year",24,21
" ","2 years",18,18
" ","3 years",6,6
" ","4 years",6,12
" ","5 years",6,3
" ","6 years",3,6
" ","7 years",0,0
" ","8 years",3,6
" ","9 years",6,3
" ","10 years",6,3
" ","11 years",6,6
" ","12 years",9,3
" ","13 years",6,6
" ","14 years",3,6
" ","15 years",9,9
" ","16 years",30,15
" ","17 years",42,9
" ","18 years",45,18
" ","19 years",54,18
" ","20 years",60,15
" ","21 years",72,15
" ","22 years",39,24
" ","23 years",48,9
" ","24 years",42,12
" ","25 years",39,9
" ","26 years",33,12
" ","27 years",42,15
" ","28 years",36,15
" ","29 years",33,27
" ","30 years",48,21
" ","31 years",27,12
" ","32 years",33,18
" ","33 years",27,15
" ","34 years",36,24
" ","35 years",33,24
" ","36 years",54,21
" ","37 years",48,15
" ","38 years",48,21
" ","39 years",48,18
" ","40 years",45,33
" ","41 years",48,36
" ","42 years",66,45
" ","43 years",69,30
" ","44 years",57,42
" ","45 years",63,36
" ","46 years",69,51
" ","47 years",72,42
" ","48 years",66,42
" ","49 years",69,60
" ","50 years",66,63
" ","51 years",93,75
" ","52 years",111,57
" ","53 years",114,72
" ","54 years",132,93
" ","55 years",129,72
" ","56 years",126,87
" ","57 years",132,93
" ","58 years",141,108
" ","59 years",150,111
" ","60 years",186,108
" ","61 years",204,111
" ","62 years",219,144
" ","63 years",255,171
" ","64 years",258,153
" ","65 years",273,165
" ","66 years",312,192
" ","67 years",291,222
" ","68 years",369,225
" ","69 years",387,219
" ","70 years",378,261
" ","71 years",405,240
" ","72 years",417,291
" ","73 years",435,324
" ","74 years",384,324
" ","75 years",444,345
" ","76 years",453,333
" ","77 years",429,378
" ","78 years",477,414
" ","79 years",474,435
" ","80 years",417,474
" ","81 years",393,420
" ","82 years",405,417
" ","83 years",375,495
" ","84 years",369,477
" ","85 years",354,450
" ","86 years",282,447
" ","87 years",258,423
" ","88 years",204,378
" ","89 years",174,336
" ","90 years",147,309
" ","91 years",120,294
" ","92 years",123,222
" ","93 years",84,162
" ","94 years",57,165
" ","95 years",51,141
" ","96 years",27,105
" ","97 years",18,84
" ","98 years",15,63
" ","99 years",9,33
" ","100 years and over",15,84
" ","Median age at death",72.9,78.8
1994,"Total all ages",14088,12867
" ","Neonatal",105,84
" ","Post-neonatal",105,105
" ","Infant",210,189
" ","1-4 years",60,39
" ","5-9 years",30,21
" ","10-14 years",36,15
" ","15-19 years",132,69
" ","20-24 years",204,72
" ","25-29 years",198,69
" ","30-34 years",207,96
" ","35-39 years",198,120
" ","40-44 years",255,165
" ","45-49 years",342,222
" ","50-54 years",498,360
" ","55-59 years",654,435
" ","60-64 years",1056,675
" ","65-69 years",1677,942
" ","70-74 years",2061,1467
" ","75-79 years",2130,1782
" ","80-84 years",2091,2271
" ","85-89 years",1323,2073
" ","90-94 years",576,1254
" ","95-99 years",117,435
" ","100 years and over",24,93
" ","Less than 1 year",210,189
" ","1 year",27,18
" ","2 years",12,9
" ","3 years",12,6
" ","4 years",9,6
" ","5 years",9,6
" ","6 years",12,3
" ","7 years",6,6
" ","8 years",3,3
" ","9 years",3,6
" ","10 years",9,3
" ","11 years",3,3
" ","12 years",3,3
" ","13 years",6,3
" ","14 years",9,3
" ","15 years",12,9
" ","16 years",18,9
" ","17 years",30,6
" ","18 years",33,24
" ","19 years",42,21
" ","20 years",36,15
" ","21 years",39,12
" ","22 years",57,15
" ","23 years",33,12
" ","24 years",39,15
" ","25 years",51,9
" ","26 years",36,12
" ","27 years",30,12
" ","28 years",45,21
" ","29 years",33,15
" ","30 years",39,21
" ","31 years",51,15
" ","32 years",42,15
" ","33 years",42,27
" ","34 years",30,21
" ","35 years",39,27
" ","36 years",36,18
" ","37 years",42,24
" ","38 years",42,21
" ","39 years",39,30
" ","40 years",54,18
" ","41 years",39,27
" ","42 years",57,39
" ","43 years",60,33
" ","44 years",48,45
" ","45 years",51,39
" ","46 years",63,39
" ","47 years",84,45
" ","48 years",69,51
" ","49 years",81,48
" ","50 years",81,66
" ","51 years",93,54
" ","52 years",93,78
" ","53 years",105,75
" ","54 years",123,87
" ","55 years",126,78
" ","56 years",141,69
" ","57 years",117,93
" ","58 years",135,102
" ","59 years",135,96
" ","60 years",168,126
" ","61 years",183,117
" ","62 years",210,120
" ","63 years",222,165
" ","64 years",267,150
" ","65 years",306,180
" ","66 years",321,186
" ","67 years",318,192
" ","68 years",366,174
" ","69 years",366,213
" ","70 years",378,252
" ","71 years",402,267
" ","72 years",417,294
" ","73 years",423,315
" ","74 years",441,336
" ","75 years",387,309
" ","76 years",417,309
" ","77 years",444,369
" ","78 years",414,390
" ","79 years",471,408
" ","80 years",489,450
" ","81 years",435,462
" ","82 years",384,480
" ","83 years",414,450
" ","84 years",372,426
" ","85 years",330,471
" ","86 years",300,435
" ","87 years",303,417
" ","88 years",213,399
" ","89 years",183,348
" ","90 years",168,321
" ","91 years",153,282
" ","92 years",114,237
" ","93 years",78,240
" ","94 years",63,174
" ","95 years",39,132
" ","96 years",30,123
" ","97 years",21,75
" ","98 years",18,66
" ","99 years",6,39
" ","100 years and over",27,93
" ","Median age at death",73.2,79.2
1995,"Total all ages",14457,13356
" ","Neonatal",87,93
" ","Post-neonatal",117,87
" ","Infant",204,180
" ","1-4 years",48,45
" ","5-9 years",33,21
" ","10-14 years",39,21
" ","15-19 years",159,63
" ","20-24 years",246,87
" ","25-29 years",216,75
" ","30-34 years",192,102
" ","35-39 years",183,135
" ","40-44 years",246,174
" ","45-49 years",384,276
" ","50-54 years",525,384
" ","55-59 years",705,456
" ","60-64 years",1038,636
" ","65-69 years",1677,975
" ","70-74 years",2079,1461
" ","75-79 years",2211,1854
" ","80-84 years",2079,2301
" ","85-89 years",1434,2133
" ","90-94 years",609,1377
" ","95-99 years",141,483
" ","100 years and over",15,111
" ","Less than 1 year",204,180
" ","1 year",24,18
" ","2 years",9,3
" ","3 years",6,6
" ","4 years",9,12
" ","5 years",9,6
" ","6 years",6,3
" ","7 years",0,3
" ","8 years",12,3
" ","9 years",6,6
" ","10 years",9,0
" ","11 years",6,6
" ","12 years",3,3
" ","13 years",6,6
" ","14 years",12,6
" ","15 years",15,9
" ","16 years",24,15
" ","17 years",39,12
" ","18 years",33,15
" ","19 years",48,12
" ","20 years",48,15
" ","21 years",45,12
" ","22 years",45,15
" ","23 years",54,15
" ","24 years",48,27
" ","25 years",48,15
" ","26 years",42,15
" ","27 years",36,18
" ","28 years",42,12
" ","29 years",48,12
" ","30 years",39,24
" ","31 years",39,15
" ","32 years",39,15
" ","33 years",39,24
" ","34 years",30,24
" ","35 years",30,30
" ","36 years",39,21
" ","37 years",39,36
" ","38 years",36,27
" ","39 years",42,18
" ","40 years",39,30
" ","41 years",48,33
" ","42 years",45,39
" ","43 years",51,30
" ","44 years",63,39
" ","45 years",63,42
" ","46 years",72,51
" ","47 years",84,45
" ","48 years",78,66
" ","49 years",84,72
" ","50 years",81,66
" ","51 years",108,57
" ","52 years",87,78
" ","53 years",117,108
" ","54 years",132,75
" ","55 years",120,81
" ","56 years",135,93
" ","57 years",138,96
" ","58 years",153,72
" ","59 years",159,111
" ","60 years",186,111
" ","61 years",162,117
" ","62 years",210,123
" ","63 years",219,123
" ","64 years",261,165
" ","65 years",294,210
" ","66 years",282,162
" ","67 years",360,198
" ","68 years",363,189
" ","69 years",381,219
" ","70 years",420,249
" ","71 years",366,264
" ","72 years",408,291
" ","73 years",429,321
" ","74 years",456,339
" ","75 years",453,384
" ","76 years",423,348
" ","77 years",402,348
" ","78 years",462,363
" ","79 years",471,414
" ","80 years",426,420
" ","81 years",477,444
" ","82 years",435,483
" ","83 years",393,489
" ","84 years",348,471
" ","85 years",354,501
" ","86 years",336,465
" ","87 years",282,408
" ","88 years",246,390
" ","89 years",210,372
" ","90 years",192,390
" ","91 years",132,303
" ","92 years",105,240
" ","93 years",105,249
" ","94 years",72,195
" ","95 years",57,147
" ","96 years",30,129
" ","97 years",21,96
" ","98 years",18,63
" ","99 years",9,48
" ","100 years and over",15,111
" ","Median age at death",73.3,79.3
1996,"Total all ages",14451,13803
" ","Neonatal",117,96
" ","Post-neonatal",105,90
" ","Infant",222,183
" ","1-4 years",54,42
" ","5-9 years",30,24
" ","10-14 years",33,33
" ","15-19 years",171,84
" ","20-24 years",201,66
" ","25-29 years",198,75
" ","30-34 years",201,105
" ","35-39 years",213,120
" ","40-44 years",216,147
" ","45-49 years",381,309
" ","50-54 years",504,345
" ","55-59 years",717,453
" ","60-64 years",1062,669
" ","65-69 years",1605,1008
" ","70-74 years",2082,1449
" ","75-79 years",2148,1911
" ","80-84 years",2139,2484
" ","85-89 years",1473,2241
" ","90-94 years",648,1410
" ","95-99 years",135,537
" ","100 years and over",18,105
" ","Less than 1 year",222,186
" ","1 year",21,21
" ","2 years",12,9
" ","3 years",12,9
" ","4 years",9,6
" ","5 years",6,6
" ","6 years",3,6
" ","7 years",9,6
" ","8 years",3,3
" ","9 years",9,6
" ","10 years",9,3
" ","11 years",6,3
" ","12 years",6,9
" ","13 years",6,6
" ","14 years",9,9
" ","15 years",15,15
" ","16 years",48,18
" ","17 years",36,18
" ","18 years",42,21
" ","19 years",33,15
" ","20 years",48,12
" ","21 years",33,12
" ","22 years",36,15
" ","23 years",33,15
" ","24 years",45,15
" ","25 years",42,15
" ","26 years",45,15
" ","27 years",42,18
" ","28 years",39,15
" ","29 years",33,15
" ","30 years",36,15
" ","31 years",33,15
" ","32 years",45,24
" ","33 years",42,24
" ","34 years",45,24
" ","35 years",42,12
" ","36 years",42,30
" ","37 years",42,24
" ","38 years",48,33
" ","39 years",42,24
" ","40 years",39,27
" ","41 years",36,30
" ","42 years",51,30
" ","43 years",45,27
" ","44 years",39,36
" ","45 years",60,48
" ","46 years",72,60
" ","47 years",81,63
" ","48 years",93,66
" ","49 years",78,66
" ","50 years",75,72
" ","51 years",96,69
" ","52 years",99,69
" ","53 years",117,57
" ","54 years",117,72
" ","55 years",123,72
" ","56 years",150,87
" ","57 years",126,93
" ","58 years",153,84
" ","59 years",165,108
" ","60 years",189,120
" ","61 years",180,96
" ","62 years",216,147
" ","63 years",234,141
" ","64 years",243,165
" ","65 years",273,162
" ","66 years",309,192
" ","67 years",309,219
" ","68 years",327,201
" ","69 years",384,234
" ","70 years",408,243
" ","71 years",396,255
" ","72 years",396,312
" ","73 years",426,309
" ","74 years",459,330
" ","75 years",456,384
" ","76 years",465,366
" ","77 years",396,354
" ","78 years",423,393
" ","79 years",408,417
" ","80 years",477,441
" ","81 years",420,489
" ","82 years",399,507
" ","83 years",429,537
" ","84 years",414,507
" ","85 years",396,471
" ","86 years",312,450
" ","87 years",300,489
" ","88 years",243,441
" ","89 years",222,387
" ","90 years",174,366
" ","91 years",159,303
" ","92 years",135,324
" ","93 years",111,240
" ","94 years",66,180
" ","95 years",54,180
" ","96 years",30,132
" ","97 years",27,90
" ","98 years",15,75
" ","99 years",12,57
" ","100 years and over",21,102
" ","Median age at death",73.5,79.7
1997,"Total all ages",14238,13233
" ","Neonatal",108,87
" ","Post-neonatal",105,75
" ","Infant",216,162
" ","1-4 years",60,39
" ","5-9 years",33,18
" ","10-14 years",30,30
" ","15-19 years",168,69
" ","20-24 years",180,63
" ","25-29 years",201,87
" ","30-34 years",189,108
" ","35-39 years",213,108
" ","40-44 years",279,180
" ","45-49 years",357,267
" ","50-54 years",531,357
" ","55-59 years",690,498
" ","60-64 years",969,570
" ","65-69 years",1584,936
" ","70-74 years",2010,1344
" ","75-79 years",2091,1755
" ","80-84 years",2175,2355
" ","85-89 years",1437,2250
" ","90-94 years",642,1473
" ","95-99 years",162,462
" ","100 years and over",12,111
" ","Less than 1 year",216,162
" ","1 year",18,18
" ","2 years",27,12
" ","3 years",6,6
" ","4 years",9,3
" ","5 years",9,3
" ","6 years",3,6
" ","7 years",6,3
" ","8 years",6,0
" ","9 years",6,3
" ","10 years",6,3
" ","11 years",6,12
" ","12 years",6,3
" ","13 years",6,6
" ","14 years",9,9
" ","15 years",21,12
" ","16 years",27,12
" ","17 years",33,12
" ","18 years",36,21
" ","19 years",54,12
" ","20 years",51,15
" ","21 years",30,15
" ","22 years",24,12
" ","23 years",30,9
" ","24 years",42,12
" ","25 years",39,18
" ","26 years",42,21
" ","27 years",42,18
" ","28 years",36,12
" ","29 years",39,15
" ","30 years",36,15
" ","31 years",39,15
" ","32 years",39,21
" ","33 years",30,21
" ","34 years",51,36
" ","35 years",48,18
" ","36 years",42,21
" ","37 years",36,30
" ","38 years",45,21
" ","39 years",42,21
" ","40 years",60,33
" ","41 years",48,45
" ","42 years",51,39
" ","43 years",72,36
" ","44 years",48,27
" ","45 years",69,45
" ","46 years",75,48
" ","47 years",54,48
" ","48 years",66,63
" ","49 years",96,57
" ","50 years",111,60
" ","51 years",87,57
" ","52 years",114,78
" ","53 years",105,60
" ","54 years",120,102
" ","55 years",123,78
" ","56 years",129,105
" ","57 years",141,105
" ","58 years",141,87
" ","59 years",156,123
" ","60 years",174,93
" ","61 years",162,108
" ","62 years",201,102
" ","63 years",207,129
" ","64 years",228,132
" ","65 years",258,150
" ","66 years",312,183
" ","67 years",300,198
" ","68 years",342,189
" ","69 years",372,213
" ","70 years",372,255
" ","71 years",432,243
" ","72 years",405,267
" ","73 years",396,279
" ","74 years",408,300
" ","75 years",438,345
" ","76 years",462,315
" ","77 years",426,369
" ","78 years",360,336
" ","79 years",402,387
" ","80 years",486,447
" ","81 years",381,414
" ","82 years",465,513
" ","83 years",450,471
" ","84 years",396,510
" ","85 years",387,447
" ","86 years",336,462
" ","87 years",273,438
" ","88 years",240,447
" ","89 years",198,456
" ","90 years",192,387
" ","91 years",159,351
" ","92 years",129,291
" ","93 years",84,249
" ","94 years",78,192
" ","95 years",66,150
" ","96 years",39,120
" ","97 years",27,93
" ","98 years",12,57
" ","99 years",18,42
" ","100 years and over",12,111
" ","Median age at death",73.5,80.1
1998,"Total all ages",13536,12669
" ","Neonatal",96,75
" ","Post-neonatal",87,45
" ","Infant",186,120
" ","1-4 years",48,33
" ","5-9 years",33,18
" ","10-14 years",45,27
" ","15-19 years",129,78
" ","20-24 years",174,45
" ","25-29 years",192,57
" ","30-34 years",171,105
" ","35-39 years",228,120
" ","40-44 years",276,198
" ","45-49 years",339,234
" ","50-54 years",468,342
" ","55-59 years",696,471
" ","60-64 years",954,606
" ","65-69 years",1422,885
" ","70-74 years",1887,1245
" ","75-79 years",2097,1782
" ","80-84 years",1956,2187
" ","85-89 years",1416,2142
" ","90-94 years",636,1362
" ","95-99 years",168,495
" ","100 years and over",12,108
" ","Less than 1 year",186,120
" ","1 year",24,15
" ","2 years",9,3
" ","3 years",15,9
" ","4 years",6,9
" ","5 years",6,6
" ","6 years",12,3
" ","7 years",9,6
" ","8 years",6,3
" ","9 years",3,3
" ","10 years",3,3
" ","11 years",6,6
" ","12 years",12,6
" ","13 years",9,3
" ","14 years",12,9
" ","15 years",15,12
" ","16 years",30,21
" ","17 years",30,18
" ","18 years",30,12
" ","19 years",27,15
" ","20 years",33,9
" ","21 years",39,6
" ","22 years",30,12
" ","23 years",36,6
" ","24 years",36,12
" ","25 years",30,15
" ","26 years",42,15
" ","27 years",36,12
" ","28 years",48,6
" ","29 years",39,12
" ","30 years",21,15
" ","31 years",36,18
" ","32 years",36,18
" ","33 years",30,27
" ","34 years",45,27
" ","35 years",36,21
" ","36 years",27,21
" ","37 years",51,21
" ","38 years",60,24
" ","39 years",54,33
" ","40 years",54,36
" ","41 years",51,39
" ","42 years",63,36
" ","43 years",51,42
" ","44 years",60,45
" ","45 years",66,48
" ","46 years",60,33
" ","47 years",54,42
" ","48 years",72,60
" ","49 years",87,51
" ","50 years",78,60
" ","51 years",84,75
" ","52 years",111,66
" ","53 years",87,69
" ","54 years",111,75
" ","55 years",126,72
