"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","45 Years",29590,32460
" ","46 Years",29670,31900
" ","47 Years",29960,32040
" ","48 Years",30820,32730
" ","49 Years",31370,34010
" ","50 Years",31410,33520
" ","51 Years",30850,33270
" ","52 Years",29970,31740
" ","53 Years",29160,30870
" ","54 Years",27970,29520
" ","55 Years",27590,28980
" ","56 Years",27100,28380
" ","57 Years",25780,27390
" ","58 Years",25430,26590
" ","59 Years",24210,25710
" ","60 Years",24130,25120
" ","61 Years",23730,24590
" ","62 Years",23240,24530
" ","63 Years",23380,23910
" ","64 Years",23100,23990
" ","65 Years",23390,24270
" ","66 Years",20110,21030
" ","67 Years",18570,19700
" ","68 Years",17390,18060
" ","69 Years",15520,16410
" ","70 Years",16500,17420
" ","71 Years",16100,17270
" ","72 Years",15090,16110
" ","73 Years",13160,14590
" ","74 Years",12310,13720
" ","75 Years",11310,12910
" ","76 Years",10620,12110
" ","77 Years",9860,10930
" ","78 Years",9350,10730
" ","79 Years",8480,10540
" ","80 Years",8290,9900
" ","81 Years",8070,9900
" ","82 Years",7230,9370
" ","83 Years",6530,8630
" ","84 Years",5890,7920
" ","85 Years",5170,7370
" ","86 Years",4410,6700
" ","87 Years",3650,6060
" ","88 Years",3060,5420
" ","89 Years",2450,4470
" ","90 Years",1950,4020
" ","91 Years",1520,3290
" ","92 Years",1210,2820
" ","93 Years",690,1690
" ","94 Years",540,1470
" ","0-4 Years",161600,153320
" ","5-9 Years",151380,144170
" ","10-14 Years",153390,145790
" ","15-19 Years",159960,153030
" ","20-24 Years",157160,154810
" ","25-29 Years",134020,140970
" ","30-34 Years",128430,140360
" ","35-39 Years",133630,147970
" ","40-44 Years",150880,166940
" ","45-49 Years",151410,163140
" ","50-54 Years",149370,158910
" ","55-59 Years",130100,137050
" ","60-64 Years",117580,122150
" ","65-69 Years",94990,99460
" ","70-74 Years",73160,79100
" ","75-79 Years",49630,57210
" ","80-84 Years",36010,45710
" ","85-89 Years",18740,30020
" ","Under 15 Years",466400,443300
" ","Under 16 Years",497800,473200
" ","Under 18 Years",562200,534300
" ","Under 20 Years",626300,596300
" ","15-39 Years",713200,737100
" ","15-49 Years",1015500,1067200
" ","15-59 Years",1295000,1363200
" ","40-64 Years",699300,748200
" ","15-64 Years",1412600,1485300
" ","15 Years and Over",1692100,1813800
" ","16 Years and Over",1660700,1783900
" ","18 Years and Over",1596300,1722900
" ","20 Years and Over",1532200,1660800
" ","90-94 Years",5910,13290
" ","60 Years and Over",397200,450700
" ","65 Years and Over",279600,328500
" ","75 Years and Over",111400,150000
" ","80 Years and Over",61800,92700
" ","85 Years and Over",25800,47000
" ","90 Years and Over",7070,17030
" ","95 Years and Over",1150,3740
" ","Median Age (Years)",36.3,38.3
" ","Total All Ages",2158500,2257100
"2012Q4","0 Years",31520,30200
" ","1 Years",31550,29920
" ","2 Years",32710,31010
" ","3 Years",32820,30870
" ","4 Years",32930,31050
" ","5 Years",32590,30880
" ","6 Years",30410,29390
" ","7 Years",29770,28360
" ","8 Years",29780,28170
" ","9 Years",29520,28120
" ","10 Years",29050,27780
" ","11 Years",29930,28920
" ","12 Years",31640,29800
" ","13 Years",31130,29510
" ","14 Years",30970,29170
" ","15 Years",31390,29910
" ","16 Years",32080,30180
" ","17 Years",32430,30630
" ","18 Years",31490,30640
" ","19 Years",32410,31260
" ","20 Years",32570,31320
" ","21 Years",32630,31970
" ","22 Years",32300,31880
" ","23 Years",30660,30500
" ","24 Years",29490,29500
" ","25 Years",28300,28650
" ","26 Years",27130,28090
" ","27 Years",26780,28140
" ","28 Years",26190,28260
" ","29 Years",26440,28410
" ","30 Years",26530,28730
" ","31 Years",25970,28040
" ","32 Years",25890,28240
" ","33 Years",25570,28180
" ","34 Years",25110,27880
" ","35 Years",24980,27780
" ","36 Years",25940,28160
" ","37 Years",26260,28850
" ","38 Years",27450,30370
" ","39 Years",28200,31590
" ","40 Years",29760,32930
" ","41 Years",30520,33990
" ","42 Years",30090,33660
" ","43 Years",30260,33280
" ","44 Years",30160,33160
" ","45 Years",29510,32350
" ","46 Years",29760,31890
" ","47 Years",29890,31950
" ","48 Years",30550,32830
" ","49 Years",31360,33660
" ","50 Years",31420,33700
" ","51 Years",30910,33060
" ","52 Years",30290,32440
" ","53 Years",28980,30820
" ","54 Years",28460,29800
" ","55 Years",27390,29100
" ","56 Years",27590,28630
" ","57 Years",25940,27530
" ","58 Years",25450,26720
" ","59 Years",24350,25840
" ","60 Years",24180,25510
" ","61 Years",23840,24410
" ","62 Years",23340,24830
" ","63 Years",23310,23890
" ","64 Years",23180,24030
" ","65 Years",23220,24200
" ","66 Years",21470,22200
" ","67 Years",18850,20050
" ","68 Years",17470,18270
" ","69 Years",15930,16810
" ","70 Years",16000,17020
" ","71 Years",16170,17280
" ","72 Years",15370,16450
" ","73 Years",13560,14890
" ","74 Years",12420,13780
" ","75 Years",11530,13130
" ","76 Years",10760,12260
" ","77 Years",9810,11090
" ","78 Years",9530,10830
" ","79 Years",8510,10430
" ","80 Years",8290,9950
" ","81 Years",7930,9790
" ","82 Years",7410,9450
" ","83 Years",6530,8650
" ","84 Years",5890,8070
" ","85 Years",5240,7250
" ","86 Years",4450,6760
" ","87 Years",3750,6080
" ","88 Years",3090,5400
" ","89 Years",2510,4530
" ","90 Years",1930,3940
" ","91 Years",1520,3310
" ","92 Years",1220,2850
" ","93 Years",750,1810
" ","94 Years",560,1480
" ","0-4 Years",161520,153040
" ","5-9 Years",152070,144920
" ","10-14 Years",152710,145180
" ","15-19 Years",159810,152620
" ","20-24 Years",157650,155160
" ","25-29 Years",134850,141550
" ","30-34 Years",129070,141060
" ","35-39 Years",132830,146750
" ","40-44 Years",150780,167020
" ","45-49 Years",151080,162670
" ","50-54 Years",150070,159820
" ","55-59 Years",130720,137830
" ","60-64 Years",117850,122670
" ","65-69 Years",96950,101530
" ","70-74 Years",73520,79410
" ","75-79 Years",50140,57750
" ","80-84 Years",36060,45910
" ","85-89 Years",19030,30030
" ","Under 15 Years",466300,443100
" ","Under 16 Years",497700,473000
" ","Under 18 Years",562200,533900
" ","Under 20 Years",626100,595800
" ","15-39 Years",714200,737100
" ","15-49 Years",1016100,1066800
" ","15-59 Years",1296800,1364500
" ","40-64 Years",700500,750000
" ","15-64 Years",1414700,1487100
" ","15 Years and Over",1697500,1818900
" ","16 Years and Over",1666100,1789000
" ","18 Years and Over",1601600,1728200
" ","20 Years and Over",1537700,1666300
" ","90-94 Years",5970,13390
" ","60 Years and Over",400700,454400
" ","65 Years and Over",282800,331700
" ","75 Years and Over",112400,150800
" ","80 Years and Over",62200,93000
" ","85 Years and Over",26200,47100
" ","90 Years and Over",7130,17110
" ","95 Years and Over",1160,3710
" ","Median Age (Years)",36.4,38.4
" ","Total All Ages",2163800,2262000
"2013Q1","0 Years",31260,29870
" ","1 Years",31410,29920
" ","2 Years",32550,30810
" ","3 Years",32730,31190
" ","4 Years",33030,30590
" ","5 Years",32700,31250
" ","6 Years",31010,29650
" ","7 Years",29620,28490
" ","8 Years",29890,28110
" ","9 Years",29510,28410
" ","10 Years",29300,27770
" ","11 Years",29400,28500
