"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","20 Years and Over",1781100,1855700
" ","90-94 Years",8220,15710
" ","60 Years and Over",474800,531100
" ","65 Years and Over",343200,391800
" ","75 Years and Over",135100,173100
" ","80 Years and Over",71300,101000
" ","85 Years and Over",32200,52800
" ","90 Years and Over",10000,20680
" ","95 Years and Over",1780,4980
" ","Median Age (Years)",36.0,38.3
" ","Total All Ages",2430200,2470500
"2018Q3","0 Years",30430,28810
" ","1 Years",30900,29280
" ","2 Years",31530,29860
" ","3 Years",31790,30170
" ","4 Years",32150,30050
" ","5 Years",32800,31190
" ","6 Years",33490,31890
" ","7 Years",33740,31980
" ","8 Years",34300,32550
" ","9 Years",34160,31920
" ","10 Years",34020,32240
" ","11 Years",33550,31750
" ","12 Years",31930,30270
" ","13 Years",31060,29760
" ","14 Years",31470,29830
" ","15 Years",31620,29670
" ","16 Years",31880,30180
" ","17 Years",32730,31530
" ","18 Years",33960,31620
" ","19 Years",32900,31340
" ","20 Years",33850,31660
" ","21 Years",34600,32320
" ","22 Years",35340,32220
" ","23 Years",36220,33250
" ","24 Years",36300,33770
" ","25 Years",37550,34970
" ","26 Years",38920,36250
" ","27 Years",38670,37600
" ","28 Years",38550,37680
" ","29 Years",36580,36390
" ","30 Years",35910,36460
" ","31 Years",35080,35170
" ","32 Years",33410,34310
" ","33 Years",32750,33740
" ","34 Years",32240,33240
" ","35 Years",31960,32820
" ","36 Years",31550,32260
" ","37 Years",30850,31500
" ","38 Years",30470,31220
" ","39 Years",29860,30730
" ","40 Years",28990,30100
" ","41 Years",29070,30200
" ","42 Years",29210,29910
" ","43 Years",29580,31250
" ","44 Years",30800,32150
" ","45 Years",31500,33300
" ","46 Years",33100,34590
" ","47 Years",33280,35100
" ","48 Years",32370,34080
" ","49 Years",32370,34060
" ","50 Years",31820,33300
" ","51 Years",31180,32650
" ","52 Years",30780,32060
" ","53 Years",30920,32450
" ","54 Years",31690,33050
" ","55 Years",32130,34160
" ","56 Years",31900,33630
" ","57 Years",31050,33190
" ","58 Years",30060,31570
" ","59 Years",29310,30860
" ","60 Years",28120,29790
" ","61 Years",27420,29010
" ","62 Years",26590,27950
" ","63 Years",25600,27460
" ","64 Years",25090,26320
" ","65 Years",24030,25500
" ","66 Years",23720,24800
" ","67 Years",23010,23770
" ","68 Years",22360,23740
" ","69 Years",22360,22840
" ","70 Years",21620,22810
" ","71 Years",21630,22850
" ","72 Years",18510,19570
" ","73 Years",16840,18190
" ","74 Years",15520,16570
" ","75 Years",13620,14760
" ","76 Years",14170,15690
" ","77 Years",13600,15320
" ","78 Years",12440,14250
" ","79 Years",10780,12600
" ","80 Years",9730,11660
" ","81 Years",8570,10540
" ","82 Years",7780,9660
" ","83 Years",6990,8630
" ","84 Years",6420,8190
" ","85 Years",5480,7710
" ","86 Years",4990,6900
" ","87 Years",4610,6460
" ","88 Years",3860,5980
" ","89 Years",3240,5090
" ","90 Years",2560,4290
" ","91 Years",2100,3720
" ","92 Years",1540,3060
" ","93 Years",1180,2520
" ","94 Years",870,2080
" ","0-4 Years",156790,148170
" ","5-9 Years",168490,159530
" ","10-14 Years",162030,153850
" ","15-19 Years",163090,154330
" ","20-24 Years",176310,163220
" ","25-29 Years",190270,182880
" ","30-34 Years",169390,172910
" ","35-39 Years",154700,158530
" ","40-44 Years",147640,153620
" ","45-49 Years",162620,171120
" ","50-54 Years",156380,163500
" ","55-59 Years",154460,163420
" ","60-64 Years",132820,140540
" ","65-69 Years",115490,120660
" ","70-74 Years",94110,99980
" ","75-79 Years",64610,72630
" ","80-84 Years",39480,48680
" ","85-89 Years",22170,32140
" ","Under 15 Years",487300,461500
" ","Under 16 Years",518900,491200
" ","Under 18 Years",583500,552900
" ","Under 20 Years",650400,615900
" ","15-39 Years",853800,831900
" ","15-49 Years",1164000,1156600
" ","15-59 Years",1474900,1483500
" ","40-64 Years",753900,792200
" ","15-64 Years",1607700,1624100
" ","15 Years and Over",1953600,2018900
" ","16 Years and Over",1922000,1989200
" ","18 Years and Over",1857300,1927500
" ","20 Years and Over",1790500,1864500
" ","90-94 Years",8250,15670
" ","60 Years and Over",478700,535300
" ","65 Years and Over",345900,394800
" ","75 Years and Over",136300,174200
" ","80 Years and Over",71700,101500
" ","85 Years and Over",32200,52900
" ","90 Years and Over",10050,20710
" ","95 Years and Over",1810,5050
" ","Median Age (Years)",36.1,38.3
" ","Total All Ages",2440900,2480400
"2018Q4","0 Years",30240,28700
" ","1 Years",30850,29420
" ","2 Years",31660,29940
" ","3 Years",31740,30030
" ","4 Years",32340,30210
" ","5 Years",32420,30780
" ","6 Years",33880,32430
" ","7 Years",33590,31760
" ","8 Years",34380,32530
" ","9 Years",34220,32110
" ","10 Years",34330,32230
" ","11 Years",33870,32120
" ","12 Years",32220,30680
" ","13 Years",31370,29850
" ","14 Years",31350,29750
" ","15 Years",31570,29750
" ","16 Years",31650,29950
" ","17 Years",32510,31170
" ","18 Years",33930,31800
" ","19 Years",32850,31370
" ","20 Years",33400,31190
" ","21 Years",34510,32240
" ","22 Years",35150,32490
" ","23 Years",36130,32890
" ","24 Years",36160,33800
" ","25 Years",37320,34800
" ","26 Years",38780,36400
" ","27 Years",38870,37430
" ","28 Years",38970,38100
" ","29 Years",37440,37170
" ","30 Years",36260,36710
" ","31 Years",35580,35980
" ","32 Years",34050,34530
" ","33 Years",33020,34020
" ","34 Years",32520,33580
" ","35 Years",32290,33060
" ","36 Years",32100,32950
" ","37 Years",30990,31530
" ","38 Years",30740,31540
" ","39 Years",30260,30910
" ","40 Years",29230,30550
" ","41 Years",29000,30140
" ","42 Years",29370,30050
" ","43 Years",29460,30740
" ","44 Years",30700,31970
" ","45 Years",31260,33080
" ","46 Years",33000,34370
" ","47 Years",33240,34930
" ","48 Years",32700,34540
" ","49 Years",32290,33970
" ","50 Years",32170,33790
" ","51 Years",31320,32620
" ","52 Years",30790,32050
" ","53 Years",30960,32250
" ","54 Years",31510,33200
" ","55 Years",32040,33890
" ","56 Years",32130,33900
" ","57 Years",31160,33210
" ","58 Years",30410,32250
" ","59 Years",29310,30790
" ","60 Years",28480,30060
" ","61 Years",27510,29330
" ","62 Years",26980,28140
" ","63 Years",25770,27530
" ","64 Years",25280,26590
" ","65 Years",24030,25600
" ","66 Years",23860,25170
" ","67 Years",23190,23710
" ","68 Years",22470,23990
" ","69 Years",22410,22850
" ","70 Years",21730,22860
" ","71 Years",21430,22760
" ","72 Years",19710,20660
" ","73 Years",16990,18460
" ","74 Years",15730,16880
" ","75 Years",14070,15090
" ","76 Years",13770,15270
" ","77 Years",13660,15380
" ","78 Years",12680,14470
" ","79 Years",11090,12930
" ","80 Years",9810,11730
" ","81 Years",8800,10800
" ","82 Years",7900,9870
" ","83 Years",6930,8610
" ","84 Years",6520,8380
" ","85 Years",5570,7580
" ","86 Years",5000,6950
" ","87 Years",4490,6450
" ","88 Years",3970,5970
" ","89 Years",3280,5140
" ","90 Years",2590,4400
" ","91 Years",2100,3620
" ","92 Years",1610,3130
" ","93 Years",1190,2540
" ","94 Years",880,2010
" ","0-4 Years",156840,148290
" ","5-9 Years",168490,159610
" ","10-14 Years",163150,154630
" ","15-19 Years",162520,154050
" ","20-24 Years",175340,162630
" ","25-29 Years",191380,183890
" ","30-34 Years",171430,174830
" ","35-39 Years",156370,159990
" ","40-44 Years",147770,153460
" ","45-49 Years",162480,170900
" ","50-54 Years",156750,163900
" ","55-59 Years",155040,164040
" ","60-64 Years",134010,141650
" ","65-69 Years",115970,121320
" ","70-74 Years",95580,101620
" ","75-79 Years",65260,73140
" ","80-84 Years",39960,49380
" ","85-89 Years",22320,32090
" ","Under 15 Years",488500,462500
" ","Under 16 Years",520000,492300
" ","Under 18 Years",584200,553400
" ","Under 20 Years",651000,616600
" ","15-39 Years",857000,835400
" ","15-49 Years",1167300,1159700
" ","15-59 Years",1479100,1487700
" ","40-64 Years",756100,793900
" ","15-64 Years",1613100,1629300
" ","15 Years and Over",1962400,2027700
" ","16 Years and Over",1930900,1998000
" ","18 Years and Over",1866700,1936900
" ","20 Years and Over",1799900,1873700
" ","90-94 Years",8370,15710
" ","60 Years and Over",483400,540100
" ","65 Years and Over",349300,398400
" ","75 Years and Over",137800,175500
" ","80 Years and Over",72500,102300
" ","85 Years and Over",32600,52900
" ","90 Years and Over",10240,20860
" ","95 Years and Over",1870,5150
" ","Median Age (Years)",36.1,38.3
" ","Total All Ages",2450900,2490300
"2019Q1","0 Years",30550,28810
" ","1 Years",30870,29410
" ","2 Years",31530,29830
" ","3 Years",31820,30040
" ","4 Years",32620,30430
" ","5 Years",32210,30540
" ","6 Years",33720,32310
" ","7 Years",33640,31890
" ","8 Years",34380,32510
" ","9 Years",34340,32600
" ","10 Years",34580,31920
" ","11 Years",34060,32560
" ","12 Years",32910,31060
" ","13 Years",31550,30140
" ","14 Years",31590,29850
" ","15 Years",31550,30140
" ","16 Years",32050,30070
" ","17 Years",32310,30870
" ","18 Years",33870,32110
" ","19 Years",33520,31920
" ","20 Years",33290,31020
" ","21 Years",34680,32430
" ","22 Years",34860,32270
" ","23 Years",36140,33190
" ","24 Years",36400,33910
" ","25 Years",37030,34450
" ","26 Years",38450,36350
" ","27 Years",39440,37390
" ","28 Years",39260,38590
" ","29 Years",38050,37450
" ","30 Years",36500,36870
" ","31 Years",36250,37010
" ","32 Years",34500,34650
" ","33 Years",33320,34270
" ","34 Years",32740,33930
" ","35 Years",32560,33250
" ","36 Years",32470,33120
" ","37 Years",31540,32070
" ","38 Years",31130,31610
" ","39 Years",30570,31270
" ","40 Years",29530,30770
" ","41 Years",29210,30260
" ","42 Years",29460,30330
" ","43 Years",29370,30370
" ","44 Years",30620,31890
" ","45 Years",31110,33000
" ","46 Years",32740,34020
" ","47 Years",33310,34860
" ","48 Years",32950,34810
" ","49 Years",32490,33990
" ","50 Years",32450,33950
" ","51 Years",31440,32850
" ","52 Years",30780,32310
" ","53 Years",31060,32190
" ","54 Years",31190,32780
" ","55 Years",31930,33620
" ","56 Years",32110,34290
" ","57 Years",31510,33380
" ","58 Years",30480,32390
" ","59 Years",29640,31110
" ","60 Years",28670,30260
" ","61 Years",27850,29580
" ","62 Years",26900,28320
" ","63 Years",26030,27640
" ","64 Years",25330,26850
" ","65 Years",24350,25750
" ","66 Years",23900,25310
" ","67 Years",23270,24150
" ","68 Years",22580,23700
" ","69 Years",22330,23110
" ","70 Years",21750,22690
" ","71 Years",21420,22710
" ","72 Years",20480,21770
" ","73 Years",17420,18550
" ","74 Years",15740,17060
" ","75 Years",14670,15680
" ","76 Years",13310,14690
" ","77 Years",13790,15610
" ","78 Years",12950,14710
" ","79 Years",11250,12950
" ","80 Years",9960,12110
" ","81 Years",9020,10820
" ","82 Years",7880,9900
" ","83 Years",7040,8800
" ","84 Years",6530,8360
" ","85 Years",5720,7590
" ","86 Years",4980,7040
" ","87 Years",4480,6310
" ","88 Years",4020,6020
" ","89 Years",3320,5270
" ","90 Years",2650,4430
" ","91 Years",2090,3670
" ","92 Years",1660,3100
" ","93 Years",1200,2580
" ","94 Years",900,2060
" ","0-4 Years",157390,148520
" ","5-9 Years",168290,159840
" ","10-14 Years",164680,155540
" ","15-19 Years",163300,155120
" ","20-24 Years",175360,162830
" ","25-29 Years",192240,184230
" ","30-34 Years",173310,176740
" ","35-39 Years",158270,161320
" ","40-44 Years",148190,153620
" ","45-49 Years",162600,170690
" ","50-54 Years",156910,164080
" ","55-59 Years",155670,164800
" ","60-64 Years",134780,142660
" ","65-69 Years",116440,122020
" ","70-74 Years",96820,102790
" ","75-79 Years",65970,73640
" ","80-84 Years",40430,49990
" ","85-89 Years",22510,32230
" ","Under 15 Years",490400,463900
" ","Under 16 Years",521900,494000
" ","Under 18 Years",586300,555000
" ","Under 20 Years",653700,619000
" ","15-39 Years",862500,840200
" ","15-49 Years",1173300,1164500
" ","15-59 Years",1485800,1493400
" ","40-64 Years",758200,795900
" ","15-64 Years",1620600,1636100
" ","15 Years and Over",1973200,2037800
" ","16 Years and Over",1941700,2007700
" ","18 Years and Over",1877300,1946800
" ","20 Years and Over",1809900,1882700
" ","90-94 Years",8500,15840
" ","60 Years and Over",487400,544400
" ","65 Years and Over",352600,401800
" ","75 Years and Over",139400,176900
" ","80 Years and Over",73400,103300
" ","85 Years and Over",32900,53300
" ","90 Years and Over",10440,21080
" ","95 Years and Over",1930,5230
" ","Median Age (Years)",36.1,38.3
" ","Total All Ages",2463600,2501700
"2019Q2","0 Years",30740,28900
" ","1 Years",30690,29150
" ","2 Years",31370,30030
" ","3 Years",31910,29970
" ","4 Years",32370,30520
" ","5 Years",32680,30580
" ","6 Years",33320,31890
" ","7 Years",33740,32180
" ","8 Years",34170,32460
" ","9 Years",34600,32810
" ","10 Years",34520,31940
" ","11 Years",34230,32470
" ","12 Years",33450,31580
" ","13 Years",31940,30430
" ","14 Years",31440,29930
" ","15 Years",31690,30210
" ","16 Years",32260,30110
" ","17 Years",32170,30840
" ","18 Years",33430,31720
" ","19 Years",33860,31980
" ","20 Years",33210,31220
" ","21 Years",34500,32020
" ","22 Years",34610,32380
" ","23 Years",35870,32940
" ","24 Years",36390,33680
" ","25 Years",36660,34340
" ","26 Years",38360,35930
" ","27 Years",39200,37230
" ","28 Years",39220,38150
" ","29 Years",38650,38200
" ","30 Years",36820,37050
" ","31 Years",36210,37090
" ","32 Years",35140,35110
" ","33 Years",33820,34480
" ","34 Years",32880,34150
" ","35 Years",32910,33680
" ","36 Years",32530,33130
" ","37 Years",31940,32550
" ","38 Years",31240,31660
" ","39 Years",30760,31400
" ","40 Years",30180,31150
" ","41 Years",29220,30260
" ","42 Years",29640,30410
" ","43 Years",29560,30230
" ","44 Years",30210,31570
" ","45 Years",31160,32870
" ","46 Years",32380,33590
" ","47 Years",33330,34910
" ","48 Years",33250,35270
" ","49 Years",32530,33770
" ","50 Years",32420,33920
" ","51 Years",31680,33250
" ","52 Years",30890,32540
" ","53 Years",30820,32050
" ","54 Years",31150,32510
" ","55 Years",31790,33430
" ","56 Years",32030,34120
" ","57 Years",31680,33610
" ","58 Years",30680,32800
" ","59 Years",29790,31310
" ","60 Years",29210,30770
" ","61 Years",27770,29600
" ","62 Years",27050,28640
" ","63 Years",26320,27860
" ","64 Years",25440,27110
" ","65 Years",24710,26160
" ","66 Years",23890,25190
" ","67 Years",23370,24460
" ","68 Years",22670,23560
" ","69 Years",22300,23490
" ","70 Years",21840,22540
" ","71 Years",21450,22750
" ","72 Years",21020,22260
" ","73 Years",17490,18690
" ","74 Years",16110,17420
" ","75 Years",15150,16200
" ","76 Years",12960,14240
" ","77 Years",13870,15670
" ","78 Years",13060,14880
" ","79 Years",11590,13440
" ","80 Years",10060,12010
" ","81 Years",9060,10940
" ","82 Years",8090,9990
" ","83 Years",7070,9020
" ","84 Years",6480,8220
" ","85 Years",5770,7650
" ","86 Years",4980,7020
" ","87 Years",4490,6320
" ","88 Years",4050,5930
" ","89 Years",3250,5240
" ","90 Years",2760,4490
" ","91 Years",2110,3700
" ","92 Years",1680,3070
" ","93 Years",1200,2530
" ","94 Years",930,2100
" ","0-4 Years",157070,148570
" ","5-9 Years",168500,159920
" ","10-14 Years",165580,156340
" ","15-19 Years",163410,154860
" ","20-24 Years",174590,162240
" ","25-29 Years",192090,183860
" ","30-34 Years",174870,177880
" ","35-39 Years",159380,162430
" ","40-44 Years",148820,153620
" ","45-49 Years",162650,170400
" ","50-54 Years",156960,164270
" ","55-59 Years",155980,165270
" ","60-64 Years",135790,143980
" ","65-69 Years",116940,122860
" ","70-74 Years",97910,103670
" ","75-79 Years",66630,74430
" ","80-84 Years",40740,50190
" ","85-89 Years",22530,32170
" ","Under 15 Years",491200,464800
" ","Under 16 Years",522800,495000
" ","Under 18 Years",587300,556000
" ","Under 20 Years",654600,619700
" ","15-39 Years",864300,841300
" ","15-49 Years",1175800,1165300
" ","15-59 Years",1488700,1494800
" ","40-64 Years",760200,797500
" ","15-64 Years",1624500,1638800
" ","15 Years and Over",1979900,2043300
" ","16 Years and Over",1948200,2013100
" ","18 Years and Over",1883800,1952100
" ","20 Years and Over",1816500,1888400
" ","90-94 Years",8670,15890
" ","60 Years and Over",491200,548400
" ","65 Years and Over",355400,404500
" ","75 Years and Over",140500,177900
" ","80 Years and Over",73900,103500
" ","85 Years and Over",33200,53300
" ","90 Years and Over",10620,21150
" ","95 Years and Over",1950,5260
" ","Median Age (Years)",36.2,38.3
" ","Total All Ages",2471100,2508100
"2019Q3","0 Years",30780,29230
" ","1 Years",30680,29000
" ","2 Years",31340,29670
" ","3 Years",32130,30380
" ","4 Years",32280,30660
" ","5 Years",32740,30610
" ","6 Years",33150,31630
" ","7 Years",33940,32330
" ","8 Years",34100,32420
" ","9 Years",34740,32950
" ","10 Years",34550,32250
" ","11 Years",34410,32620
" ","12 Years",33980,32140
" ","13 Years",32360,30630
" ","14 Years",31500,30140
" ","15 Years",32030,30380
" ","16 Years",32130,30140
" ","17 Years",32240,30610
" ","18 Years",33020,31760
" ","19 Years",34450,32040
" ","20 Years",33340,31650
" ","21 Years",34270,31860
" ","22 Years",34840,32500
" ","23 Years",35710,32800
" ","24 Years",36750,33800
" ","25 Years",36770,34470
" ","26 Years",38090,35850
" ","27 Years",39500,37300
" ","28 Years",39390,38570
" ","29 Years",39260,38730
" ","30 Years",37570,37410
" ","31 Years",36700,37480
" ","32 Years",35970,35960
" ","33 Years",34150,34930
" ","34 Years",33570,34420
" ","35 Years",33060,33960
" ","36 Years",32770,33400
" ","37 Years",32420,32920
" ","38 Years",31650,32140
" ","39 Years",31210,31780
" ","40 Years",30620,31150
" ","41 Years",29570,30510
" ","42 Years",29650,30570
" ","43 Years",29780,30210
" ","44 Years",30020,31520
" ","45 Years",31140,32370
" ","46 Years",31860,33460
" ","47 Years",33400,34690
" ","48 Years",33540,35280
" ","49 Years",32670,34120
" ","50 Years",32510,34170
" ","51 Years",31850,33390
" ","52 Years",31200,32640
" ","53 Years",30880,32130
" ","54 Years",30910,32530
" ","55 Years",31690,33090
" ","56 Years",32130,34240
" ","57 Years",31810,33720
" ","58 Years",30990,33230
" ","59 Years",30000,31660
" ","60 Years",29290,30910
" ","61 Years",28110,29880
" ","62 Years",27390,29060
" ","63 Years",26570,28070
" ","64 Years",25600,27510
" ","65 Years",25070,26400
" ","66 Years",23930,25430
" ","67 Years",23610,24700
" ","68 Years",22840,23690
" ","69 Years",22210,23580
" ","70 Years",22090,22670
" ","71 Years",21360,22610
" ","72 Years",21270,22590
" ","73 Years",18150,19310
" ","74 Years",16470,17880
" ","75 Years",15140,16310
" ","76 Years",13210,14490
" ","77 Years",13740,15340
" ","78 Years",13120,14950
" ","79 Years",11930,13830
" ","80 Years",10300,12170
" ","81 Years",9240,11230
" ","82 Years",8050,10060
" ","83 Years",7260,9210
" ","84 Years",6450,8120
" ","85 Years",5880,7690
" ","86 Years",4900,7130
" ","87 Years",4470,6280
" ","88 Years",3990,5810
" ","89 Years",3320,5330
" ","90 Years",2710,4460
" ","91 Years",2120,3670
" ","92 Years",1700,3130
" ","93 Years",1230,2520
" ","94 Years",930,2010
" ","0-4 Years",157210,148940
" ","5-9 Years",168670,159940
" ","10-14 Years",166800,157780
" ","15-19 Years",163870,154930
" ","20-24 Years",174900,162620
" ","25-29 Years",193010,184920
" ","30-34 Years",177960,180200
" ","35-39 Years",161110,164190
" ","40-44 Years",149640,153960
" ","45-49 Years",162610,169920
" ","50-54 Years",157350,164870
" ","55-59 Years",156610,165930
" ","60-64 Years",136960,145430
" ","65-69 Years",117660,123800
" ","70-74 Years",99340,105070
" ","75-79 Years",67140,74920
" ","80-84 Years",41310,50790
" ","85-89 Years",22570,32250
" ","Under 15 Years",492700,466700
" ","Under 16 Years",524700,497000
" ","Under 18 Years",589100,557800
" ","Under 20 Years",656500,621600
" ","15-39 Years",870900,846900
" ","15-49 Years",1183100,1170700
" ","15-59 Years",1497100,1501500
" ","40-64 Years",763200,800100
" ","15-64 Years",1634000,1647000
" ","15 Years and Over",1992700,2054900
" ","16 Years and Over",1960700,2024500
" ","18 Years and Over",1896300,1963800
" ","20 Years and Over",1828800,1900000
" ","90-94 Years",8680,15790
" ","60 Years and Over",495600,553300
" ","65 Years and Over",358700,407900
" ","75 Years and Over",141700,179000
" ","80 Years and Over",74500,104100
" ","85 Years and Over",33200,53300
" ","90 Years and Over",10670,21100
" ","95 Years and Over",1980,5300
" ","Median Age (Years)",36.2,38.3
" ","Total All Ages",2485400,2521500
"2019Q4","0 Years",30830,29430
" ","1 Years",30500,28880
" ","2 Years",31340,29850
" ","3 Years",32240,30500
" ","4 Years",32240,30510
" ","5 Years",32910,30830
" ","6 Years",32840,31240
" ","7 Years",34290,32890
" ","8 Years",33990,32160
" ","9 Years",34810,32970
" ","10 Years",34640,32500
" ","11 Years",34710,32670
" ","12 Years",34270,32520
" ","13 Years",32640,31030
" ","14 Years",31810,30230
" ","15 Years",31900,30320
" ","16 Years",32100,30230
" ","17 Years",31990,30350
" ","18 Years",32670,31250
" ","19 Years",34440,32090
" ","20 Years",33470,31720
" ","21 Years",33830,31350
" ","22 Years",34780,32410
" ","23 Years",35760,33120
" ","24 Years",36880,33730
" ","25 Years",36980,34720
" ","26 Years",38210,35950
" ","27 Years",39710,37750
" ","28 Years",39840,38660
" ","29 Years",40020,39310
" ","30 Years",38570,38390
" ","31 Years",37280,37790
" ","32 Years",36580,36940
" ","33 Years",34940,35220
" ","34 Years",33970,34790
" ","35 Years",33430,34370
" ","36 Years",33180,33680
" ","37 Years",33040,33580
" ","38 Years",31940,32220
" ","39 Years",31610,32130
" ","40 Years",31080,31430
" ","41 Years",29950,31010
" ","42 Years",29660,30520
" ","43 Years",30050,30420
" ","44 Years",30000,31060
" ","45 Years",31060,32220
" ","46 Years",31680,33270
" ","47 Years",33350,34560
" ","48 Years",33520,35100
" ","49 Years",33040,34700
" ","50 Years",32530,34090
" ","51 Years",32320,33990
" ","52 Years",31390,32750
" ","53 Years",30940,32160
" ","54 Years",31050,32470
" ","55 Years",31570,33360
" ","56 Years",32090,34130
" ","57 Years",32190,34120
" ","58 Years",31210,33390
" ","59 Years",30430,32500
" ","60 Years",29350,31060
" ","61 Years",28560,30330
" ","62 Years",27660,29570
" ","63 Years",27060,28420
" ","64 Years",25920,27770
" ","65 Years",25410,26800
" ","66 Years",24010,25680
" ","67 Years",23850,25250
" ","68 Years",23160,23730
" ","69 Years",22380,23970
" ","70 Years",22240,22770
" ","71 Years",21550,22760
" ","72 Years",21190,22600
" ","73 Years",19390,20460
" ","74 Years",16710,18230
" ","75 Years",15380,16660
" ","76 Years",13720,14850
" ","77 Years",13380,14980
" ","78 Years",13210,15090
" ","79 Years",12180,14080
" ","80 Years",10650,12530
" ","81 Years",9310,11330
" ","82 Years",8300,10340
" ","83 Years",7410,9420
" ","84 Years",6390,8170
" ","85 Years",6000,7840
" ","86 Years",5020,7040
" ","87 Years",4450,6330
" ","88 Years",3920,5790
" ","89 Years",3440,5310
" ","90 Years",2780,4540
" ","91 Years",2120,3780
" ","92 Years",1720,3040
" ","93 Years",1290,2590
" ","94 Years",910,2050
" ","0-4 Years",157150,149180
" ","5-9 Years",168840,160090
" ","10-14 Years",168080,158940
" ","15-19 Years",163100,154220
" ","20-24 Years",174720,162320
" ","25-29 Years",194760,186380
" ","30-34 Years",181340,183130
" ","35-39 Years",163200,165990
" ","40-44 Years",150750,154430
" ","45-49 Years",162640,169840
" ","50-54 Years",158230,165460
" ","55-59 Years",157490,167520
" ","60-64 Years",138560,147140
" ","65-69 Years",118810,125440
" ","70-74 Years",101090,106820
" ","75-79 Years",67880,75650
" ","80-84 Years",42070,51790
" ","85-89 Years",22830,32320
" ","Under 15 Years",494100,468200
" ","Under 16 Years",526000,498500
" ","Under 18 Years",590100,559100
" ","Under 20 Years",657200,622400
" ","15-39 Years",877100,852000
" ","15-49 Years",1190500,1176300
" ","15-59 Years",1506200,1509300
" ","40-64 Years",767700,804400
" ","15-64 Years",1644800,1656400
" ","15 Years and Over",2008300,2069800
" ","16 Years and Over",1976400,2039500
" ","18 Years and Over",1912300,1978900
" ","20 Years and Over",1845200,1915600
" ","90-94 Years",8830,15990
" ","60 Years and Over",502100,560500
" ","65 Years and Over",363500,413300
" ","75 Years and Over",143600,181100
" ","80 Years and Over",75800,105400
" ","85 Years and Over",33700,53600
" ","90 Years and Over",10870,21330
" ","95 Years and Over",2040,5340
" ","Median Age (Years)",36.3,38.4
" ","Total All Ages",2502400,2538000
"2020Q1","0 Years",30430,29280
" ","1 Years",30900,29030
" ","2 Years",31420,29950
" ","3 Years",32220,30460
" ","4 Years",32430,30620
" ","5 Years",33260,31090
" ","6 Years",32740,31050
" ","7 Years",34180,32870
" ","8 Years",34130,32400
" ","9 Years",34880,33010
" ","10 Years",34840,33030
" ","11 Years",35000,32470
" ","12 Years",34510,33020
" ","13 Years",33410,31460
" ","14 Years",32020,30600
" ","15 Years",32170,30520
" ","16 Years",32120,30650
" ","17 Years",32400,30480
" ","18 Years",32690,31170
" ","19 Years",34580,32430
" ","20 Years",34370,32380
" ","21 Years",34040,31450
" ","22 Years",35440,32990
" ","23 Years",35780,33220
" ","24 Years",37310,34430
" ","25 Years",37590,35330
" ","26 Years",38290,36130
" ","27 Years",39700,38260
" ","28 Years",40720,39160
" ","29 Years",40680,40280
" ","30 Years",39460,38980
" ","31 Years",37930,38280
" ","32 Years",37540,38170
" ","33 Years",35600,35490
" ","34 Years",34420,35190
" ","35 Years",33860,34860
" ","36 Years",33590,34040
" ","37 Years",33510,33850
" ","38 Years",32480,32830
" ","39 Years",32110,32270
" ","40 Years",31490,31920
" ","41 Years",30280,31290
" ","42 Years",29940,30750
" ","43 Years",30140,30730
" ","44 Years",29980,30710
" ","45 Years",31090,32240
" ","46 Years",31610,33270
" ","47 Years",33090,34250
" ","48 Years",33660,35060
" ","49 Years",33210,35020
" ","50 Years",32780,34180
" ","51 Years",32640,34170
" ","52 Years",31550,33080
" ","53 Years",30970,32500
" ","54 Years",31220,32450
" ","55 Years",31320,33030
" ","56 Years",32030,33890
" ","57 Years",32240,34650
" ","58 Years",31630,33660
" ","59 Years",30520,32700
" ","60 Years",29740,31490
" ","61 Years",28820,30620
" ","62 Years",28050,29940
" ","63 Years",27010,28680
" ","64 Years",26220,27970
" ","65 Years",25500,27190
" ","66 Years",24460,25970
" ","67 Years",23960,25480
" ","68 Years",23260,24240
" ","69 Years",22600,23750
" ","70 Years",22220,23100
" ","71 Years",21610,22680
" ","72 Years",21230,22590
" ","73 Years",20210,21640
" ","74 Years",17150,18400
" ","75 Years",15440,16870
" ","76 Years",14330,15450
" ","77 Years",12950,14460
" ","78 Years",13370,15360
" ","79 Years",12460,14340
" ","80 Years",10780,12560
" ","81 Years",9480,11750
" ","82 Years",8510,10400
" ","83 Years",7390,9420
" ","84 Years",6530,8340
" ","85 Years",5980,7810
" ","86 Years",5190,7080
" ","87 Years",4390,6430
" ","88 Years",3920,5680
" ","89 Years",3490,5360
" ","90 Years",2840,4610
" ","91 Years",2170,3790
" ","92 Years",1690,3090
" ","93 Years",1320,2560
" ","94 Years",930,2090
" ","0-4 Years",157400,149340
" ","5-9 Years",169180,160420
" ","10-14 Years",169790,160570
" ","15-19 Years",163950,155250
" ","20-24 Years",176940,164460
" ","25-29 Years",196980,189160
" ","30-34 Years",184950,186110
" ","35-39 Years",165550,167840
" ","40-44 Years",151840,155410
" ","45-49 Years",162660,169840
" ","50-54 Years",159170,166380
" ","55-59 Years",157740,167940
" ","60-64 Years",139840,148700
" ","65-69 Years",119780,126620
" ","70-74 Years",102430,108400
" ","75-79 Years",68560,76480
