"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","12 Years",29920,28310
" ","13 Years",29970,28780
" ","14 Years",31360,29930
" ","15 Years",32170,30340
" ","16 Years",31640,29900
" ","17 Years",32270,30640
" ","18 Years",32690,30870
" ","19 Years",34030,31220
" ","20 Years",34710,31680
" ","21 Years",34620,31660
" ","22 Years",35070,32220
" ","23 Years",35510,32680
" ","24 Years",35160,33400
" ","25 Years",33930,32810
" ","26 Years",32320,31860
" ","27 Years",31150,31790
" ","28 Years",30030,30710
" ","29 Years",29100,30380
" ","30 Years",28670,30430
" ","31 Years",28520,30190
" ","32 Years",28540,30140
" ","33 Years",27970,29700
" ","34 Years",27680,29340
" ","35 Years",27330,29200
" ","36 Years",26800,29020
" ","37 Years",26350,28520
" ","38 Years",26840,28820
" ","39 Years",27070,28930
" ","40 Years",27960,30370
" ","41 Years",29010,31570
" ","42 Years",30080,32810
" ","43 Years",31310,33930
" ","44 Years",31490,34430
" ","45 Years",31000,33620
" ","46 Years",31110,33470
" ","47 Years",30590,32810
" ","48 Years",30150,32320
" ","49 Years",30230,31860
" ","50 Years",30500,32280
" ","51 Years",31300,33180
" ","52 Years",31680,33900
" ","53 Years",31470,33410
" ","54 Years",30680,32740
" ","55 Years",29660,31350
" ","56 Years",28930,30510
" ","57 Years",27860,29440
" ","58 Years",27300,28740
" ","59 Years",26560,27930
" ","60 Years",25620,27150
" ","61 Years",24940,26300
" ","62 Years",24170,25580
" ","63 Years",23870,24860
" ","64 Years",23380,24290
" ","65 Years",23080,24160
" ","66 Years",22900,23560
" ","67 Years",22630,23680
" ","68 Years",22200,23200
" ","69 Years",19110,20130
" ","70 Years",17470,18650
" ","71 Years",16310,17230
" ","72 Years",14800,15860
" ","73 Years",15490,16800
" ","74 Years",14930,16330
" ","75 Years",13510,14930
" ","76 Years",11910,13620
" ","77 Years",11030,12670
" ","78 Years",10060,11770
" ","79 Years",9220,10810
" ","80 Years",8570,10010
" ","81 Years",7870,9590
" ","82 Years",7120,9170
" ","83 Years",6800,8600
" ","84 Years",6410,8390
" ","85 Years",5510,7760
" ","86 Years",4830,6950
" ","87 Years",4120,6210
" ","88 Years",3500,5590
" ","89 Years",2830,4910
" ","90 Years",2290,4300
" ","91 Years",1740,3510
" ","92 Years",1340,2840
" ","93 Years",1010,2370
" ","94 Years",760,1840
" ","0-4 Years",156820,148590
" ","5-9 Years",161820,153380
" ","10-14 Years",151450,144290
" ","15-19 Years",162810,152970
" ","20-24 Years",175070,161640
" ","25-29 Years",156540,157540
" ","30-34 Years",141370,149800
" ","35-39 Years",134380,144490
" ","40-44 Years",149860,163110
" ","45-49 Years",153090,164090
" ","50-54 Years",155620,165510
" ","55-59 Years",140310,147980
" ","60-64 Years",121980,128180
